word=zone, count=1
word=vigor, count=1
word=viewing, count=1
word=view, count=1
word=victorious, count=1
word=victims, count=1
word=victim, count=2
word=vicinity, count=3
word=vi, count=2
word=very, count=32
word=version, count=1
word=vermilion, count=1
word=verdict, count=1
word=ventured, count=5
word=venture, count=1
word=velvet, count=2
word=vehicles, count=1
word=vegetable, count=1
word=ve, count=46
word=vastly, count=1
word=vast, count=4
word=various, count=1
word=variety, count=4
word=varieties, count=1
word=value, count=1
word=valuable, count=1
word=valiantly, count=1
word=valiant, count=1
word=vaguely, count=1
word=vague, count=3
word=vaccinated, count=2
word=v, count=2
word=uttered, count=3
word=utter, count=1
word=usually, count=3
word=usual, count=3
word=using, count=2
word=uses, count=1
word=useless, count=1
word=used, count=8
word=use, count=10
word=us, count=25
word=urged, count=2
word=upward, count=2
word=upstairs, count=1
word=upsets, count=1
word=ups, count=1
word=uppish, count=1
word=upon, count=12
word=upland, count=3
word=upkeep, count=1
word=up, count=93
word=unwise, count=1
word=unwatchful, count=1
word=unturned, count=1
word=until, count=15
word=untidy, count=1
word=untarnished, count=1
word=unsightly, count=1
word=unselfishness, count=2
word=unreasonable, count=1
word=unraveling, count=1
word=unprotected, count=1
word=unprecedented, count=1
word=unoriginal, count=1
word=unlucky, count=1
word=unluckily, count=1
word=unload, count=1
word=unlike, count=1
word=unless, count=3
word=unknown, count=1
word=university, count=1
word=universe, count=1
word=united, count=4
word=unintelligible, count=1
word=uniformed, count=1
word=uniform, count=1
word=unfair, count=2
word=unfailingly, count=2
word=uneventfully, count=1
word=unending, count=1
word=unemployed, count=1
word=undue, count=1
word=undoubtedly, count=1
word=undertaking, count=1
word=understood, count=5
word=understand, count=6
word=underneath, count=2
word=underhanded, count=1
word=underclothing, count=1
word=under, count=11
word=undaunted, count=1
word=uncles, count=1
word=uncle, count=43
word=uncertainty, count=1
word=uncertain, count=1
word=unceremoniously, count=1
word=unbelievable, count=1
word=unavoidable, count=1
word=unable, count=1
word=tyrant, count=1
word=typhoons, count=1
word=typhoon, count=1
word=types, count=1
word=type, count=2
word=twould, count=1
word=two, count=17
word=twisted, count=1
word=twinkling, count=1
word=twinkled, count=2
word=twinkle, count=2
word=twill, count=2
word=twenty, count=3
word=twelve, count=1
word=twas, count=2
word=tutor, count=1
word=turquoise, count=1
word=turning, count=1
word=turned, count=13
word=turn, count=9
word=turmoil, count=1
word=turbans, count=1
word=turbaned, count=1
word=tumbling, count=1
word=tumbled, count=1
word=tumble, count=2
word=tulle, count=2
word=tucked, count=3
word=trying, count=5
word=try, count=13
word=truthful, count=1
word=truth, count=5
word=trusting, count=1
word=trust, count=4
word=truly, count=1
word=true, count=8
word=trucks, count=2
word=troubles, count=3
word=trouble, count=10
word=trot, count=1
word=tropics, count=1
word=tropical, count=1
word=trod, count=1
word=triumphantly, count=1
word=triumphant, count=1
word=trip, count=5
word=trim, count=1
word=tried, count=5
word=trick, count=4
word=trials, count=1
word=tremor, count=1
word=trembled, count=1
word=trees, count=2
word=tree, count=16
word=treated, count=3
word=treat, count=2
word=treasure, count=1
word=treading, count=1
word=traveling, count=3
word=travelers, count=4
word=traveler, count=1
word=traveled, count=1
word=travel, count=4
word=traps, count=1
word=transplanted, count=2
word=transformed, count=3
word=transform, count=1
word=transferred, count=1
word=trains, count=1
word=training, count=2
word=train, count=1
word=tragedy, count=3
word=traffic, count=1
word=traditions, count=1
word=tradition, count=1
word=trade, count=2
word=track, count=1
word=toyed, count=1
word=town, count=7
word=toward, count=6
word=tourist, count=1
word=toughened, count=1
word=tough, count=1
word=touching, count=2
word=touched, count=4
word=touch, count=5
word=tots, count=1
word=toted, count=1
word=tossed, count=1
word=toss, count=1
word=tortoise, count=1
word=torrent, count=1
word=torn, count=1
word=torment, count=1
word=tore, count=1
word=topics, count=1
word=topic, count=1
word=top, count=6
word=tools, count=1
word=took, count=12
word=too, count=53
word=tongues, count=1
word=tongued, count=1
word=tongue, count=5
word=tone, count=7
word=told, count=22
word=toiling, count=1
word=toiled, count=3
word=together, count=12
word=toes, count=1
word=toddle, count=1
word=to, count=778
word=title, count=1
word=tired, count=7
word=tiptoed, count=2
word=tiny, count=2
word=tinted, count=1
word=timmie, count=16
word=timidly, count=2
word=timid, count=2
word=times, count=4
word=time, count=44
word=tim, count=24
word=tilted, count=1
word=till, count=1
word=tike, count=1
word=tightly, count=1
word=tight, count=1
word=tidy, count=1
word=tidings, count=4
word=tickled, count=1
word=thwarted, count=1
word=thus, count=4
word=thrust, count=1
word=thrown, count=1
word=throw, count=1
word=through, count=23
word=throng, count=3
word=throne, count=1
word=throat, count=1
word=thrive, count=2
word=thrilling, count=1
word=thrill, count=2
word=thrift, count=1
word=threw, count=1
word=three, count=6
word=threading, count=1
word=threaded, count=1
word=thread, count=2
word=thousand, count=1
word=thoughts, count=1
word=thoughtfulness, count=1
word=thoughtfully, count=3
word=thought, count=19
word=though, count=8
word=those, count=24
word=thoroughfares, count=1
word=thoroughfare, count=1
word=thoroughbred, count=1
word=this, count=97
word=thirty, count=1
word=thirteen, count=1
word=third, count=1
word=thinning, count=2
word=thinking, count=4
word=think, count=30
word=things, count=22
word=thing, count=37
word=thin, count=2
word=thick, count=4
word=they, count=145
word=these, count=21
word=therefore, count=12
word=there, count=114
word=then, count=36
word=themselves, count=6
word=them, count=80
word=their, count=62
word=the, count=1336
word=that, count=339
word=thanks, count=4
word=thankful, count=3
word=thank, count=9
word=than, count=57
word=text, count=1
word=texas, count=2
word=test, count=1
word=terrors, count=1
word=terror, count=1
word=territory, count=3
word=terrifying, count=1
word=terribly, count=1
word=terrible, count=3
word=terms, count=1
word=termination, count=1
word=terminating, count=2
word=tents, count=1
word=tense, count=1
word=tennessee, count=3
word=tenements, count=1
word=tenement, count=4
word=tender, count=2
word=tended, count=1
word=ten, count=7
word=tempted, count=1
word=temporarily, count=1
word=temples, count=2
word=temperature, count=3
word=temperate, count=1
word=temper, count=2
word=tells, count=3
word=telling, count=9
word=teller, count=1
word=tell, count=24
word=teeming, count=1
word=teemed, count=1
word=tediousness, count=1
word=tedious, count=1
word=teased, count=1
word=tears, count=3
word=tearing, count=1
word=team, count=1
word=teaching, count=1
word=teacher, count=5
word=teach, count=2
word=tea, count=1
word=tawny, count=1
word=task, count=6
word=tartary, count=17
word=tartars, count=2
word=tarnished, count=1
word=tardiness, count=1
word=tar, count=1
word=tangled, count=1
word=tangle, count=4
word=tang, count=1
word=tame, count=1
word=tall, count=2
word=talking, count=5
word=talked, count=6
word=talk, count=9
word=tales, count=4
word=tale, count=3
word=taking, count=6
word=takes, count=1
word=taken, count=4
word=take, count=23
word=tagged, count=2
word=tablecloth, count=1
word=table, count=2
word=t, count=241
word=sympathy, count=1
word=sympathetic, count=3
word=syllable, count=1
word=swirling, count=1
word=swipe, count=1
word=swept, count=2
word=sweetest, count=1
word=sweet, count=1
word=sweep, count=1
word=sweaters, count=1
word=sweater, count=1
word=swarmed, count=1
word=swallowed, count=1
word=suspicious, count=2
word=susie, count=1
word=surveying, count=1
word=surroundings, count=1
word=surrender, count=1
word=surprisingly, count=1
word=surprises, count=2
word=surprised, count=4
word=surprise, count=2
word=surging, count=1
word=surged, count=1
word=surely, count=3
word=sure, count=15
word=supreme, count=1
word=supposed, count=2
word=suppose, count=17
word=supply, count=1
word=supper, count=5
word=superiority, count=1
word=superior, count=1
word=supercilious, count=1
word=sunny, count=1
word=sunlight, count=1
word=sunk, count=1
word=sundays, count=1
word=sunday, count=1
word=sun, count=8
word=summer, count=3
word=summary, count=1
word=sum, count=1
word=sultans, count=1
word=sullivans, count=1
word=sullivan, count=4
word=suits, count=1
word=suit, count=1
word=suggestion, count=1
word=suggested, count=2
word=sugar, count=1
word=sufficient, count=1
word=suffered, count=1
word=suez, count=1
word=suds, count=1
word=suddenly, count=11
word=sudden, count=3
word=such, count=46
word=succeeded, count=1
word=succeed, count=1
word=suburban, count=1
word=substantial, count=2
word=subject, count=1
word=subconscious, count=1
word=suave, count=1
word=style, count=1
word=sturdy, count=1
word=stupid, count=2
word=stupendous, count=1
word=stunt, count=2
word=stuff, count=1
word=study, count=1
word=studied, count=1
word=stuck, count=3
word=stubbornly, count=1
word=struggling, count=1
word=structure, count=1
word=struck, count=2
word=strongest, count=1
word=strong, count=3
word=strolls, count=1
word=stroke, count=1
word=stripes, count=1
word=string, count=2
word=strike, count=1
word=strides, count=1
word=stricken, count=1
word=stretches, count=1
word=stretched, count=1
word=stretch, count=1
word=strength, count=1
word=streets, count=5
word=street, count=16
word=stream, count=1
word=strayed, count=1
word=stranger, count=16
word=strangely, count=1
word=strange, count=3
word=strained, count=1
word=strain, count=1
word=straightened, count=3
word=straighten, count=2
word=straight, count=5
word=stow, count=1
word=stove, count=3
word=story, count=15
word=storms, count=2
word=stories, count=4
word=store, count=1
word=stopped, count=3
word=stop, count=6
word=stooped, count=1
word=stood, count=7
word=stone, count=4
word=stockings, count=4
word=stingy, count=1
word=stillness, count=3
word=still, count=25
word=stigma, count=1
word=stiffened, count=1
word=stiff, count=2
word=sticks, count=1
word=sthetic, count=1
word=stew, count=2
word=stevedores, count=1
word=stern, count=2
word=step, count=3
word=stentorian, count=2
word=stenographers, count=1
word=stecher, count=1
word=steaming, count=2
word=steal, count=1
word=steak, count=2
word=steadily, count=1
word=stayed, count=1
word=stay, count=2
word=station, count=1
word=states, count=7
word=statement, count=2
word=stately, count=1
word=starve, count=3
word=startling, count=1
word=startled, count=1
word=starting, count=2
word=started, count=7
word=start, count=4
word=stars, count=1
word=staring, count=1
word=stared, count=1
word=stare, count=1
word=star, count=1
word=stapled, count=1
word=standing, count=1
word=standard, count=1
word=stand, count=3
word=stamping, count=1
word=stampeded, count=1
word=stamped, count=1
word=stammered, count=1
word=stammer, count=2
word=stall, count=1
word=stalks, count=1
word=stalk, count=2
word=stairway, count=1
word=stairs, count=4
word=sr, count=1
word=squares, count=1
word=squareness, count=1
word=square, count=2
word=squabbles, count=1
word=squabble, count=2
word=spy, count=1
word=sputter, count=1
word=spun, count=3
word=sprouting, count=1
word=sprout, count=1
word=spring, count=2
word=spread, count=1
word=sprang, count=1
word=spot, count=2
word=sport, count=1
word=spoonful, count=1
word=spools, count=1
word=spool, count=1
word=spontaneously, count=1
word=sponge, count=1
word=spondulics, count=1
word=spoken, count=1
word=spoke, count=4
word=spoiled, count=2
word=spoil, count=3
word=splendor, count=2
word=splendid, count=3
word=spite, count=8
word=spirits, count=5
word=spirited, count=1
word=spirit, count=2
word=spinning, count=5
word=spied, count=1
word=spent, count=3
word=spending, count=1
word=spell, count=1
word=speedily, count=1
word=speed, count=3
word=speechless, count=1
word=sped, count=1
word=speculated, count=1
word=spectators, count=1
word=specimens, count=1
word=species, count=1
word=speaking, count=4
word=speaker, count=1
word=speak, count=6
word=sparkling, count=1
word=sparkle, count=1
word=spare, count=3
word=spangling, count=1
word=spangles, count=2
word=spangled, count=2
word=spacious, count=1
word=space, count=2
word=souvenir, count=1
word=southern, count=4
word=south, count=20
word=soup, count=1
word=sounds, count=2
word=sounded, count=1
word=sound, count=1
word=souls, count=1
word=soul, count=6
word=sought, count=1
word=sorts, count=5
word=sort, count=9
word=sorry, count=10
word=sore, count=2
word=sooner, count=2
word=soon, count=7
word=sons, count=1
word=sonny, count=10
word=song, count=1
word=son, count=5
word=somewheres, count=1
word=somewhere, count=6
word=somewhat, count=1
word=sometimes, count=15
word=sometime, count=1
word=something, count=23
word=somehow, count=3
word=somebody, count=9
word=some, count=56
word=solution, count=1
word=soils, count=1
word=soil, count=3
word=softly, count=3
word=softened, count=1
word=soft, count=1
word=sofa, count=1
word=sodden, count=1
word=soda, count=1
word=social, count=1
word=sociable, count=3
word=soberly, count=2
word=soar, count=1
word=soap, count=1
word=soak, count=1
word=so, count=137
word=snowy, count=1
word=snowstorms, count=1
word=snowball, count=2
word=snow, count=6
word=snitch, count=1
word=sniffed, count=2
word=snatched, count=2
word=snatch, count=1
word=snarls, count=1
word=snarling, count=1
word=snarled, count=1
word=snapshot, count=1
word=snaps, count=1
word=snappy, count=1
word=smothered, count=1
word=smoothed, count=1
word=smoky, count=1
word=smith, count=1
word=smiling, count=5
word=smiled, count=11
word=smile, count=10
word=smashing, count=1
word=smashed, count=1
word=smartest, count=1
word=smart, count=1
word=smallpox, count=1
word=smaller, count=1
word=small, count=14
word=slush, count=1
word=slowly, count=4
word=slowest, count=1
word=slow, count=1
word=slogan, count=1
word=slipping, count=1
word=slippery, count=1
word=slipped, count=3
word=slip, count=3
word=slide, count=1
word=slick, count=1
word=slicing, count=1
word=slice, count=2
word=slender, count=4
word=sleeves, count=2
word=sleeve, count=1
word=sleepy, count=1
word=sleep, count=4
word=slaves, count=1
word=slaughter, count=1
word=slang, count=3
word=slam, count=1
word=sky, count=1
word=skirts, count=2
word=skirt, count=1
word=skilled, count=1
word=skill, count=2
word=skies, count=1
word=skating, count=3
word=skates, count=2
word=skaters, count=1
word=sizes, count=1
word=sized, count=1
word=sixteen, count=1
word=six, count=4
word=sit, count=4
word=sisters, count=3
word=sister, count=13
word=sis, count=1
word=siree, count=2
word=sir, count=21
word=sins, count=1
word=since, count=8
word=simply, count=3
word=simple, count=3
word=similar, count=1
word=silver, count=2
word=silly, count=3
word=sillier, count=1
word=silks, count=2
word=silk, count=1
word=silent, count=3
word=silencing, count=1
word=silence, count=5
word=signs, count=1
word=sight, count=9
word=sighed, count=6
word=sigh, count=2
word=sidewalks, count=2
word=sidewalk, count=3
word=side, count=1
word=sickness, count=1
word=sick, count=5
word=shyly, count=1
word=shy, count=1
word=shut, count=2
word=shrugged, count=1
word=shrug, count=1
word=shrub, count=2
word=shriveled, count=1
word=shrivel, count=2
word=shrinking, count=1
word=shrine, count=1
word=showing, count=1
word=showed, count=1
word=show, count=5
word=shovelful, count=1
word=shouting, count=1
word=shouted, count=1
word=shout, count=1
word=shouldn, count=4
word=shoulders, count=3
word=shoulder, count=1
word=should, count=32
word=shot, count=2
word=short, count=7
word=shore, count=1
word=shops, count=1
word=shopping, count=1
word=shoppers, count=1
word=shop, count=1
word=shoots, count=2
word=shook, count=4
word=shone, count=1
word=shoes, count=4
word=shoe, count=1
word=ships, count=2
word=shipping, count=2
word=shipped, count=1
word=shipowners, count=1
word=ship, count=9
word=shiny, count=2
word=shining, count=3
word=shimmering, count=1
word=shiftings, count=1
word=shielded, count=1
word=sheltered, count=2
word=shelter, count=1
word=sheets, count=1
word=sheepishly, count=1
word=sheep, count=1
word=shed, count=4
word=she, count=169
word=shaver, count=2
word=shaven, count=1
word=sharpness, count=2
word=sharp, count=1
word=share, count=2
word=shaped, count=1
word=shape, count=1
word=shan, count=2
word=shall, count=13
word=shaking, count=2
word=shakes, count=1
word=shaker, count=1
word=shaken, count=1
word=shake, count=3
word=shade, count=2
word=shabby, count=3
word=shabbiness, count=1
word=sewing, count=9
word=sewed, count=3
word=sew, count=3
word=several, count=2
word=seventeen, count=1
word=settle, count=1
word=sets, count=1
word=set, count=14
word=servility, count=1
word=services, count=1
word=service, count=3
word=serves, count=1
word=served, count=1
word=sermon, count=1
word=serious, count=1
word=serge, count=1
word=serenely, count=1
word=serene, count=3
word=sequins, count=1
word=sequel, count=1
word=september, count=1
word=separately, count=1
word=separated, count=2
word=separate, count=2
word=sentiment, count=1
word=sent, count=4
word=sensing, count=1
word=sensible, count=1
word=senseless, count=1
word=sense, count=3
word=sends, count=1
word=sell, count=1
word=self, count=2
word=select, count=1
word=seldom, count=3
word=seizing, count=1
word=seized, count=1
word=seething, count=2
word=sees, count=1
word=seen, count=15
word=seems, count=7
word=seemed, count=10
word=seem, count=8
word=seek, count=2
word=seeing, count=2
word=seeds, count=21
word=seed, count=3
word=see, count=66
word=secure, count=1
word=section, count=1
word=secrets, count=2
word=secret, count=3
word=seconds, count=1
word=second, count=4
word=seats, count=1
word=seated, count=1
word=seat, count=1
word=season, count=5
word=searchingly, count=1
word=searching, count=1
word=searched, count=1
word=seams, count=1
word=seal, count=1
word=sea, count=7
word=scurry, count=1
word=scuffle, count=1
word=scrubbed, count=2
word=screw, count=1
word=screening, count=1
word=scrawled, count=1
word=scratch, count=2
word=scrambling, count=1
word=scotchwoman, count=1
word=scotch, count=4
word=scornfully, count=1
word=scorned, count=1
word=scores, count=3
word=scorching, count=1
word=scissors, count=1
word=scintillating, count=1
word=scientifically, count=1
word=scientific, count=1
word=science, count=2
word=schools, count=1
word=schoolroom, count=1
word=schooled, count=1
word=school, count=15
word=scepter, count=4
word=scattering, count=1
word=scarcely, count=2
word=scarce, count=1
word=scant, count=2
word=scale, count=2
word=says, count=7
word=saying, count=3
word=say, count=21
word=saw, count=9
word=saved, count=2
word=save, count=3
word=savannah, count=1
word=saucer, count=1
word=saucepan, count=1
word=saturdays, count=1
word=saturday, count=6
word=satisfied, count=1
word=satisfactory, count=1
word=satisfactorily, count=1
word=satisfaction, count=3
word=satellites, count=1
word=sat, count=4
word=sarsing, count=1
word=sarse, count=1
word=sarcastically, count=1
word=sara, count=2
word=sar, count=1
word=sandy, count=1
word=sanderson, count=1
word=sand, count=2
word=same, count=10
word=salt, count=1
word=salads, count=1
word=sake, count=1
word=sails, count=1
word=sailing, count=1
word=sailed, count=3
word=sail, count=4
word=said, count=38
word=sage, count=1
word=safety, count=2
word=safely, count=3
word=safe, count=2
word=sad, count=1
word=sacred, count=1
word=sacked, count=1
word=sack, count=2
word=s, count=165
word=ryan, count=1
word=rushing, count=3
word=rushed, count=3
word=rush, count=2
word=running, count=5
word=runaway, count=1
word=run, count=8
word=ruled, count=1
word=rule, count=2
word=ruining, count=1
word=ruin, count=1
word=rug, count=2
word=ruffle, count=1
word=ruefully, count=1
word=rude, count=2
word=ruddy, count=1
word=rubbers, count=3
word=rubber, count=1
word=royal, count=1
word=rows, count=3
word=round, count=15
word=roughness, count=1
word=roughen, count=1
word=rough, count=3
word=rotten, count=4
word=roseate, count=1
word=rose, count=2
word=roots, count=4
word=root, count=2
word=room, count=13
word=roof, count=1
word=rome, count=1
word=romans, count=4
word=romance, count=3
word=rolled, count=7
word=roll, count=1
word=rode, count=1
word=rocking, count=1
word=robes, count=3
word=robed, count=1
word=road, count=1
word=rivers, count=1
word=rivalry, count=1
word=rising, count=2
word=ripe, count=1
word=ringing, count=1
word=ring, count=1
word=rights, count=1
word=right, count=30
word=ridiculous, count=3
word=ride, count=2
word=rich, count=6
word=rice, count=1
word=rewards, count=1
word=revolted, count=1
word=reveal, count=1
word=returned, count=17
word=return, count=1
word=retreat, count=1
word=retorted, count=1
word=retort, count=1
word=retained, count=1
word=result, count=5
word=restricted, count=1
word=restraint, count=1
word=rested, count=1
word=rest, count=11
word=responsibility, count=1
word=response, count=4
word=responded, count=5
word=resplendent, count=3
word=respect, count=2
word=reset, count=1
word=reserved, count=1
word=reserve, count=1
word=resented, count=1
word=resent, count=1
word=rescued, count=1
word=rescue, count=2
word=requirements, count=1
word=reproof, count=1
word=reproductions, count=1
word=repress, count=1
word=represented, count=1
word=report, count=1
word=reply, count=8
word=replied, count=8
word=repeats, count=1
word=repeated, count=3
word=repeat, count=1
word=repairing, count=1
word=repaired, count=1
word=repainted, count=1
word=rent, count=8
word=rendered, count=2
word=render, count=1
word=removed, count=3
word=reminiscently, count=1
word=reminds, count=1
word=remembered, count=2
word=remember, count=7
word=remedy, count=1
word=remedies, count=1
word=rembrandt, count=1
word=remarks, count=1
word=remarked, count=6
word=remarkable, count=1
word=remark, count=1
word=remains, count=1
word=remained, count=1
word=remain, count=3
word=reluctant, count=1
word=relished, count=1
word=relish, count=2
word=release, count=1
word=relatives, count=1
word=relative, count=2
word=related, count=1
word=relate, count=2
word=rejoicing, count=2
word=rejoiced, count=1
word=reiterated, count=1
word=reinforce, count=1
word=regulated, count=1
word=regular, count=1
word=regrettable, count=1
word=regrets, count=1
word=regret, count=3
word=regardless, count=1
word=regarding, count=1
word=regarded, count=1
word=regard, count=2
word=refute, count=1
word=refusing, count=1
word=refrains, count=1
word=reflection, count=1
word=reflected, count=3
word=reefer, count=1
word=redder, count=1
word=red, count=6
word=recovery, count=1
word=record, count=1
word=recommendation, count=1
word=recognize, count=2
word=recognition, count=1
word=recklessly, count=1
word=reckless, count=1
word=received, count=4
word=receipts, count=1
word=recapturing, count=1
word=recall, count=1
word=rebuke, count=1
word=rebels, count=1
word=rebellious, count=1
word=reassuringly, count=2
word=reassuring, count=1
word=reassured, count=1
word=reasonable, count=1
word=rearing, count=1
word=really, count=13
word=realizing, count=1
word=realized, count=3
word=realization, count=1
word=real, count=4
word=ready, count=3
word=readily, count=1
word=readers, count=2
word=read, count=7
word=reaction, count=1
word=reached, count=3
word=reach, count=4
word=re, count=26
word=rather, count=10
word=rated, count=1
word=rate, count=2
word=rare, count=1
word=raptly, count=1
word=ranks, count=1
word=rank, count=1
word=range, count=1
word=rang, count=1
word=ran, count=3
word=rambling, count=1
word=rally, count=1
word=rallied, count=1
word=raising, count=4
word=raises, count=1
word=raisers, count=1
word=raised, count=3
word=raise, count=9
word=rail, count=1
word=rage, count=1
word=rag, count=1
word=radius, count=1
word=racket, count=1
word=racing, count=2
word=raced, count=1
word=race, count=3
word=raccoon, count=1
word=rabid, count=2
word=r, count=1
word=quite, count=17
word=quit, count=5
word=quilts, count=1
word=quietly, count=2
word=quiet, count=5
word=quickly, count=3
word=quicker, count=2
word=quick, count=5
word=questioned, count=5
word=question, count=4
word=quest, count=1
word=queried, count=2
word=queer, count=2
word=quavered, count=1
word=quarter, count=1
word=quarrels, count=1
word=quarrel, count=1
word=quantity, count=1
word=quantities, count=2
word=quality, count=2
word=quaintly, count=1
word=pyramid, count=1
word=puzzling, count=1
word=puzzle, count=1
word=putting, count=4
word=put, count=30
word=push, count=1
word=pursuing, count=1
word=pursued, count=1
word=pursed, count=1
word=purse, count=2
word=purpose, count=3
word=purple, count=2
word=pure, count=3
word=purchase, count=3
word=puppy, count=2
word=punishment, count=1
word=punching, count=1
word=pull, count=1
word=published, count=3
word=public, count=2
word=prudent, count=2
word=proxy, count=1
word=provocation, count=1
word=provided, count=1
word=proves, count=1
word=proved, count=2
word=prove, count=1
word=proudly, count=2
word=proud, count=5
word=protested, count=7
word=protest, count=4
word=prosperous, count=1
word=prosaic, count=1
word=propriety, count=1
word=proprietor, count=1
word=proportions, count=2
word=proportion, count=1
word=property, count=1
word=proofreading, count=1
word=promptly, count=2
word=prompt, count=2
word=promising, count=1
word=promises, count=1
word=promise, count=2
word=project, count=3
word=progress, count=4
word=profound, count=1
word=profitable, count=1
word=professional, count=1
word=products, count=2
word=product, count=1
word=producing, count=1
word=produced, count=3
word=produce, count=1
word=procured, count=1
word=proclaiming, count=1
word=proclaimed, count=2
word=process, count=1
word=problems, count=2
word=problem, count=2
word=probably, count=7
word=prize, count=1
word=privacy, count=1
word=printed, count=1
word=prince, count=1
word=primitive, count=1
word=prime, count=1
word=priests, count=1
word=pride, count=4
word=prickly, count=1
word=pretty, count=4
word=prettier, count=1
word=prestige, count=1
word=pressed, count=1
word=presiding, count=1
word=presents, count=1
word=presently, count=2
word=presenting, count=1
word=presented, count=1
word=present, count=5
word=presence, count=1
